release_id,img_url,Purchase Price
28224904,,
23101979,,
12735208,,16.66
13855327,,
1412631,,
16101542,,26.5
28476079,,
15551465,,
27295887,,7.5
13483456,,17.99
19271368,,29.95
23927387,,
15663123,,
15331633,,23.99
27784422,,
3631225,,1
21620947,,
4710930,,5
4491372,,
28226179,,
24405602,,
24293543,,
3427266,,
24554213,,
3545498,,
15767457,,18.84
24958474,,
21846487,,
24663209,,6.5
23413859,,
14691829,,19.99
2512279,,
22426726,,
19527991,,
14760208,,20.53
15514240,,
6158352,,5
18004795,,10
13563322,,18
14293235,,
2030462,,
16366020,,28
17539465,,20
15517682,,
21148975,,
19916353,,
21064909,,
26352458,,
25429897,,
2373573,,
1242694,,
14232637,,18
1877244,,
14697308,,
4792598,,
14799251,,
21064408,,
24125159,,
25809013,,10
25363804,,
26579276,,
23871236,,
21397783,,
19518175,,
19484788,,
19484788,,
7299969,,12
20147620,,
24556265,,
20394643,,
16431690,,26.95
23339513,,
26599118,,
24020723,,10
26039194,,
19320934,,
27041202,,
28180315,,
27170820,,
14728052,,
14529639,,
10773910,,
19248652,,
19168087,,9
27061842,,
24437369,,
25359994,,
14333106,,22.99
19189816,,
17170258,,
12155904,,
2619437,,
7467684,,11.03
21426001,,
760379,,
700865,,
17559457,,5.7
15990303,,
16101857,,15
2500279,,13
24704294,,
22652990,,
14253209,,
7150100,,
3044595,,
1994131,,
23826767,,12
27735606,,12
21847657,,
12422487,,18
14080190,,16.66
15712180,,
18767872,,15
5912418,,
7467715,,
19403434,,8.65
6106294,,
27706905,,
26127776,,
25550965,,
18980509,,22
21062254,,
28199857,,
28199902,,
28199890,,
151832,,
23310416,,12
27686412,,12
27553074,,
23365466,,
18068767,,
19333849,,
15482132,,
4548825,,
4972923,,
19059580,,12
22301380,,
17047761,,7
3419668,,
1519150,,12
18979456,,10
938040,,
25775032,,
15762528,,
2039922,,
1614479,,
27464361,,
14361225,,24
1819216,,
2296184,,10
1802121,,8
7015065,,10
25069579,,
16004008,,
18768931,,7.5
28138030,,
2051877,,
6902928,,
11641428,,5
15661397,,19.78
12103231,,
5174165,,
20709817,,
18634567,,
10434339,,24.75
919009,,
20507959,,21.61
25415287,,
9987858,,13
27761565,,
1744147,,
3549352,,10
19590358,,
14892820,,
15882596,,18
18675490,,11
1758736,,
27423072,,
22824305,,
19320568,,
22383457,,10.86
20633692,,8.5
17532760,,
22497125,,
23804258,,
7242186,,
27885336,,
12508766,,
17784868,,22
4243861,,25
4905921,,
6916895,,
23235914,,
24334895,,
25619623,,
23894756,,
14414352,,10
17922847,,19
18069346,,19
17914735,,32
11747055,,
3917267,,3.33
6024108,,
9085254,,
5636351,,
13276122,,10.08
11019145,,8.4
14240636,,15.65
19346860,,
22916057,,
22808744,,
23455916,,
28491652,,
25619908,,
25747900,,
5188327,,
27947307,,
3786580,,
5951221,,
12876955,,
19737085,,
18488464,,
21148381,,
24343823,,
6429755,,
15237157,,7
15795726,,7
17044872,,7
23185160,,
14418719,,17.99
27932340,,
18980797,,30
18041473,,12
20255575,,12
22728866,,
21269284,,
22742282,,
23874161,,
21769264,,
24463394,,
17275750,,
26373089,,
24093353,,
4561839,,17.98
4545992,,17.98
12075906,,17.99
16136301,,27.99
15129157,,
18990964,,
12937879,,
1973752,,
15541773,,45.08
18373753,,34.99
15311509,,
13291066,,17.5
14650792,,
24263306,,17
3264424,,
14630631,,18
5094138,,12
25120690,,
27947283,,
20667949,,
16477551,,9
24527531,,
15132797,,29.39
13383814,,
26110114,,
5311187,,
8013082,,
598989,,
20935894,,
20935939,,
1255494,,
594929,,
2738775,,
11749233,,15.99
11749233,,15.99
8010876,,
19089772,,
14314968,,21.99
16586790,,40
18322984,,
4893519,,
19405582,,
12756347,,17.25
12729076,,34.5
17386057,,
4066022,,3
2483434,,3
3070089,,
1641894,,
712553,,1
1759861,,
17586322,,
1777200,,1
498669,,1
443977,,1
535757,,1
818145,,
23573885,,
20710012,,
14289346,,25
7404435,,
14340943,,20.99
11425393,,20
3150416,,10
587594,,5
212603,,1
10415433,,
5008649,,
6272946,,
1013535,,
21975976,,
14877557,,12
13924183,,18.99
17208832,,10
13941074,,
1545258,,
1389774,,
3440155,,
10603020,,
12444340,,
2595858,,
20545966,,
25532905,,
8346774,,20.68
10796623,,1
4053248,,2
13122771,,16.8
10437981,,10
10440687,,12
11520085,,14.25
2258571,,15
26391680,,
28312009,,
28311985,,
21633829,,
26392016,,
3430674,,22.56
25556893,,
1492364,,10
24544043,,8
22754024,,
15953460,,21
9680883,,7
14006026,,
18523288,,
21975916,,
23544677,,
18770971,,10.08
7888580,,
15029200,,12.58
20894578,,12
20894509,,12
11741812,,12
23407892,,
27497889,,
18207301,,16.21
22728986,,
24586712,,10
12678132,,30
20153167,,29.99
8658419,,15
28105918,,
26068357,,
8398440,,15
20429014,,
27415026,,
23682629,,
18671773,,20
